Close,High,Low,Open,Volume,Sentiment
1027.998535,1030.6022935473843,1017.583710009097,1017.583710009097,1435934,0
1041.3797607421875,1043.620664008463,1021.5744859389514,1030.8155024868872,1618844,0.8242282867431641
1044.2181396484375,1045.7548006307898,1027.336753,1032.9282770302991,1610104,0
1026.568603515625,1041.4865976691908,1024.4130468877286,1041.4865976691908,1560858,0.9192560911178589
1039.032227,1040.718219,1026.120354382767,1033.376613128402,843160,0.6967024803161621
1051.175781,1052.755063801994,1033.0351341598555,1036.364497291077,3704198,0.44668611884117126
1012.141357421875,1017.1139870358066,1007.3394216196626,1011.607808999407,3199580,0
993.2747802734376,1009.4732842250884,982.4117587965492,1008.4915346080036,3482594,0.14784942070643106
972.6799926757812,981.2593875114168,960.387018,970.2043075209732,2742052,0
965.1250610351562,978.1862632006626,962.5213031878538,976.9698353870244,3269408,0.7412035465240479
